C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/10/2017,08:00:00,REGULAR,0000316637,0000509982                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/10/2017,12:00:00,REGULAR,0000316774,0000510268                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/10/2017,16:00:00,REGULAR,0000317029,0000510601                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/10/2017,20:00:00,REGULAR,0000317350,0000510948                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/11/2017,00:00:00,REGULAR,0000317564,0000511163                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/11/2017,04:00:00,REGULAR,0000317614,0000511193                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/11/2017,08:00:00,REGULAR,0000317633,0000511242                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/11/2017,12:00:00,REGULAR,0000317741,0000511468                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/11/2017,16:00:00,REGULAR,0000317938,0000511792                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/11/2017,20:00:00,REGULAR,0000318217,0000512081                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/12/2017,00:00:00,REGULAR,0000318404,0000512214                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/12/2017,04:00:00,REGULAR,0000318416,0000512231                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/12/2017,08:00:00,REGULAR,0000318457,0000512463                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/12/2017,12:00:00,REGULAR,0000318606,0000513093                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/12/2017,16:00:00,REGULAR,0000318878,0000513383                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/12/2017,20:00:00,REGULAR,0000319437,0000513848                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/13/2017,00:00:00,REGULAR,0000319686,0000514016                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/13/2017,04:00:00,REGULAR,0000319710,0000514038                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/13/2017,08:00:00,REGULAR,0000319742,0000514364                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/13/2017,12:00:00,REGULAR,0000319931,0000515088                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/13/2017,16:00:00,REGULAR,0000320198,0000515424                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/13/2017,20:00:00,REGULAR,0000320808,0000515942                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/14/2017,00:00:00,REGULAR,0000321064,0000516140                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/14/2017,04:00:00,REGULAR,0000321091,0000516158                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/14/2017,08:00:00,REGULAR,0000321140,0000516471                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/14/2017,12:00:00,REGULAR,0000321312,0000517207                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/14/2017,16:00:00,REGULAR,0000321627,0000517584                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/14/2017,20:00:00,REGULAR,0000322218,0000518072                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/15/2017,00:00:00,REGULAR,0000322488,0000518266                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/15/2017,04:00:00,REGULAR,0000322521,0000518275                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/15/2017,08:00:00,REGULAR,0000322562,0000518586                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/15/2017,12:00:00,REGULAR,0000322727,0000519300                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/15/2017,16:00:00,REGULAR,0000323047,0000519714                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/15/2017,20:00:00,REGULAR,0000323643,0000520245                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/16/2017,00:00:00,REGULAR,0000323931,0000520487                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/16/2017,04:00:00,REGULAR,0000323973,0000520506                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/16/2017,08:00:00,REGULAR,0000324006,0000520791                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/16/2017,12:00:00,REGULAR,0000324182,0000521518                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/16/2017,16:00:00,REGULAR,0000324421,0000521842                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/16/2017,20:00:00,REGULAR,0000324942,0000522230                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/10/2017,00:00:00,REGULAR,0005398694,0007436819                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/10/2017,04:00:00,REGULAR,0005398742,0007436839                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/10/2017,08:00:00,REGULAR,0005398760,0007436914                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/10/2017,12:00:00,REGULAR,0005398885,0007437130                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/10/2017,16:00:00,REGULAR,0005399104,0007437365                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/10/2017,20:00:00,REGULAR,0005399381,0007437582                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/11/2017,00:00:00,REGULAR,0005399580,0007437733                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/11/2017,04:00:00,REGULAR,0005399613,0007437751                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/11/2017,08:00:00,REGULAR,0005399628,0007437800                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/11/2017,12:00:00,REGULAR,0005399727,0007437967                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/11/2017,16:00:00,REGULAR,0005399902,0007438184                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/11/2017,20:00:00,REGULAR,0005400140,0007438400                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/12/2017,00:00:00,REGULAR,0005400290,0007438496                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/12/2017,04:00:00,REGULAR,0005400303,0007438506                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/12/2017,08:00:00,REGULAR,0005400363,0007438717                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/12/2017,12:00:00,REGULAR,0005400553,0007439250                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/12/2017,16:00:00,REGULAR,0005400853,0007439439                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/12/2017,20:00:00,REGULAR,0005401471,0007439725                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/13/2017,00:00:00,REGULAR,0005401701,0007439854                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/13/2017,04:00:00,REGULAR,0005401725,0007439865                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/13/2017,08:00:00,REGULAR,0005401793,0007440210                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/13/2017,12:00:00,REGULAR,0005401983,0007440897                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/13/2017,16:00:00,REGULAR,0005402275,0007441107                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/13/2017,20:00:00,REGULAR,0005402944,0007441457                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/14/2017,00:00:00,REGULAR,0005403198,0007441600                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/14/2017,04:00:00,REGULAR,0005403218,0007441609                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/14/2017,08:00:00,REGULAR,0005403267,0007441939                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/14/2017,12:00:00,REGULAR,0005403481,0007442611                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/14/2017,16:00:00,REGULAR,0005403763,0007442862                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/14/2017,20:00:00,REGULAR,0005404407,0007443210                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/15/2017,00:00:00,REGULAR,0005404650,0007443352                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/15/2017,04:00:00,REGULAR,0005404669,0007443364                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/15/2017,08:00:00,REGULAR,0005404716,0007443698                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/15/2017,12:00:00,REGULAR,0005404930,0007444326                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/15/2017,16:00:00,REGULAR,0005405185,0007444597                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/15/2017,20:00:00,REGULAR,0005405849,0007444907                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/16/2017,00:00:00,REGULAR,0005406123,0007445034                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/16/2017,04:00:00,REGULAR,0005406159,0007445046                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/16/2017,08:00:00,REGULAR,0005406192,0007445375                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/16/2017,12:00:00,REGULAR,0005406381,0007445974                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/16/2017,16:00:00,REGULAR,0005406662,0007446239                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/16/2017,20:00:00,REGULAR,0005407284,0007446546                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/10/2017,00:00:00,REGULAR,0005031634,0005950628                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/10/2017,04:00:00,REGULAR,0005031658,0005950642                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/10/2017,08:00:00,REGULAR,0005031670,0005950709                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/10/2017,12:00:00,REGULAR,0005031765,0005950885                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/10/2017,16:00:00,REGULAR,0005031958,0005951013                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/10/2017,20:00:00,REGULAR,0005032220,0005951128                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/11/2017,00:00:00,REGULAR,0005032356,0005951209                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/11/2017,04:00:00,REGULAR,0005032386,0005951222                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/11/2017,08:00:00,REGULAR,0005032400,0005951264                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/11/2017,12:00:00,REGULAR,0005032484,0005951392                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/11/2017,16:00:00,REGULAR,0005032657,0005951516                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/11/2017,20:00:00,REGULAR,0005032856,0005951621                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/12/2017,00:00:00,REGULAR,0005032981,0005951662                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/12/2017,04:00:00,REGULAR,0005032993,0005951673                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/12/2017,08:00:00,REGULAR,0005033045,0005951883                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/12/2017,12:00:00,REGULAR,0005033227,0005952284                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/12/2017,16:00:00,REGULAR,0005033485,0005952389                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/12/2017,20:00:00,REGULAR,0005034056,0005952543                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/13/2017,00:00:00,REGULAR,0005034250,0005952603                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/13/2017,04:00:00,REGULAR,0005034264,0005952612                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/13/2017,08:00:00,REGULAR,0005034303,0005952959                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/13/2017,12:00:00,REGULAR,0005034499,0005953463                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/13/2017,16:00:00,REGULAR,0005034735,0005953600                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/13/2017,20:00:00,REGULAR,0005035287,0005953780                                            
